#loc_id;ags;ascii;name;lat;lon;amt;plz;vorwahl;einwohner;flaeche;kz;typ;level;of;invalid
19716;01051062;KRONPRINZENKOOG;Kronprinzenkoog;53.9714911507279;8.96161969595227;Amt Marne-Land;25709;04856;965;29;HEI;Gemeinde;6;258;
19753;01051063;KRUMSTEDT;Krumstedt;54.06943;9.17705;Amt Meldorf-Land;25727;04832;556;16;HEI;Gemeinde;6;258;
19762;01051064;KUDEN;Kuden;53.9680004706868;9.19292736642632;Amt Burg-Süderhastedt;25712;04825;664;11;HEI;Gemeinde;6;258;
20073;01051065;LEHE;Lehe, Dithmarschen;54.34379;9.02545;Amt Lunden;25774;04882;1160;19;HEI;Gemeinde;6;258;
20238;01051067;LIETH;Lieth;54.1545;9.06058;Amt Heide-Land;25770;0481;396;5;HEI;Gemeinde;6;258;
20263;01051068;LINDEN;Linden, Holstein;54.25236;9.18142;Amt Hennstedt;25791;04836;876;12;HEI;Gemeinde;6;258;
20361;01051069;LOHE-RICKELSHOF;Lohe-Rickelshof;54.1871;9.06463;Amt Heide-Land;25746;0481;1942;5;HEI;Gemeinde;6;258;
20498;01051071;LUNDEN;Lunden, Holstein;54.3329120891624;9.0237369667053;Amt Lunden;25774;04882;1655;5;HEI;Gemeinde;6;258;
20675;01051072;MARNE;Marne, Holstein;53.9511274906169;9.00880578749451;;25709;04851;6018;5;HEI;Stadt;6;258;
20676;01051073;MARNERDEICH;Marnerdeich;53.9476074804811;8.99369891577038;Amt Marne-Land;25709;04851;341;1;HEI;Gemeinde;6;258;
20799;01051074;MELDORF;Meldorf (Holstein);54.09195;9.06927;;25704;04832;7655;21;HEI;Stadt;6;258;
21411;01051075;NEUENKIRCHEN;Neuenkirchen, Dithmarschen;54.23605;8.99007;Amt Weddingstedt;25792;04837;1044;25;HEI;Gemeinde;6;258;
21438;01051076;NEUFELD;Neufeld, Dithmarschen;53.9074307117022;9.01639107458863;Amt Marne-Land;25724;04851;646;10;HEI;Gemeinde;6;258;
21439;01051077;NEUFELDERKOOG;Neufelderkoog;53.906748117309;8.96890994005474;Amt Marne-Land;25724;04851;144;10;HEI;Gemeinde;6;258;
21743;01051078;NINDORF;Nindorf bei Meldorf;54.08771;9.10317;Amt Meldorf-Land;25704;04832;1165;9;HEI;Gemeinde;6;258;
21775;01051079;NORDDEICH;Norddeich, Dithmarschen;54.21813;8.90007;Amt Wesselburen-Land;25764;04823;430;7;HEI;Gemeinde;6;258;
21782;01051080;NORDERHEISTEDT;Norderheistedt;54.24454;9.14641;Amt Hennstedt;25779;04836;144;4;HEI;Gemeinde;6;258;
21787;01051081;NORDERWOEHRDEN;Norderwöhrden;54.19859;9.03232;Amt Wesselburen-Land;25746;04823;287;19;HEI;Gemeinde;6;258;
21791;01051082;NORDHASTEDT;Nordhastedt;54.17271;9.1822;Amt Heide-Land;25785;04804;2753;27;HEI;Gemeinde;6;258;
22057;01051083;ODDERADE;Odderade;54.13983;9.1905;Amt Meldorf-Land;25785;04832;325;11;HEI;Gemeinde;6;258;
22094;01051084;OESTERDEICHSTRICH;Oesterdeichstrich;54.15919;8.89858;Amt Büsum;25761;04834;273;5;HEI;Gemeinde;6;258;
22112;01051085;OFFENBUETTEL;Offenbüttel;54.1689040710944;9.35692198718146;Amt Albersdorf;25767;04835;283;14;HEI;Gemeinde;6;258;
22224;01051086;OSTERRADE;Osterrade, Dithmarschen;54.1873273556041;9.35273103559569;Amt Albersdorf;25767;04835;462;17;HEI;Gemeinde;6;258;
22243;01051087;OSTROHE;Ostrohe;54.214810444152;9.137088806873;Amt Weddingstedt;25746;0481;963;7;HEI;Gemeinde;6;258;
22293;01051088;PAHLEN;Pahlen;54.2677223292008;9.28990364218298;Amt Tellingstedt;25794;04803;1168;11;HEI;Gemeinde;6;258;
22711;01051089;QUICKBORN;Quickborn, Dithmarschen;54.0116409355575;9.21656902723583;Amt Burg-Süderhastedt;25712;04825;199;7;HEI;Gemeinde;6;258;
